area,year,mean_temp_c
Schönefeld,2022,33.681660538867845
Borsigwalde,2022,31.795317602443845
Heinersdorf,2022,32.81128088144811
Groß Glienicke,2022,26.698200664583567
Sacrow,2022,24.105209917355467
Mahlow,2022,32.0147349097179
Schwanebeck,2022,32.16222463343098
Zepernick,2022,29.942526908888738
Babelsberg Nord,2022,28.60581741248882
Babelsberg Süd,2022,30.344844556987425
Berliner Vorstadt,2022,27.386008264462873
Klein Glienicke,2022,24.897128205128183
Stern,2022,28.75970445280649
Wilhelmshagen,2022,27.823309659090967
Hessenwinkel,2022,26.211039299242486
Grätzwalde,2022,29.044231133992696
Hohenberge,2022,27.510588235294108
Kleinschönebeck,2022,31.699636840432333
Fichtenau,2022,26.076825633383066
Schöneiche,2022,31.495182292393167
Zwiebusch,2022,24.43166666666673
Neu-Zittau,2022,27.02569351835166
Dahlwitz-Hoppegarten,2022,32.17530674258404
Schönwalde,2022,27.971847057256184
Schönerlinde,2022,30.589669937092822
Schönfließ,2022,28.489146891736254
Schildow,2022,28.46923028119045
Mühlenbeck,2022,28.807038962124125
Bergfelde,2022,27.39486451641028
Hohen Neuendorf,2022,27.962762893379022
Stolpe,2022,27.23092967937953
Schönwalde-Siedlung,2022,28.576369009241432
Schlachtensee,2022,25.71267641325545
Lichterfelde Süd,2022,30.957208188372988
Lichterfelde Ost,2022,31.407814905814917
Lichterfelde West,2022,31.042094288558985
Ahrensfelde,2022,32.5237595863851
,2022,32.709703791469224
,2022,32.705555555555634
,2022,
,2022,
Reinickendorf,2023,28.697649825519647
Frohnau,2023,24.562491561998513
Reinickendorf,2023,25.75645594930154
Spandau,2023,26.037845081855266
Charlottenburg-Nord,2023,28.23737507897522
Mitte,2023,28.43566840205807
Mitte,2023,28.67189921612544
Hansaviertel,2023,29.03173648931721
Wedding,2023,28.257971777359046
Moabit,2023,28.869877521343597
Gesundbrunnen,2023,28.718727430051388
Deutschland,2023,25.338285980789408
Steglitz-Zehlendorf,2023,24.383754635124376
Steglitz,2023,27.994794318981576
Lankwitz,2023,27.501938675660824
Lichterfelde,2023,27.064609606917372
Dahlem,2023,24.899004786511227
Wilmersdorf,2023,29.13344909635822
Halensee,2023,29.166231775700965
Grunewald,2023,22.995487085206832
Wittenau,2023,28.393889860849754
Märkisches Viertel,2023,27.91775824322525
Hermsdorf,2023,25.487074172090672
Tegel,2023,24.769476279344133
Heiligensee,2023,24.037522531638785
Tiergarten,2023,27.2299270067885
Schöneberg,2023,29.46037702766438
Friedenau,2023,29.05709677419361
Marienfelde,2023,27.510195986766405
Treptow-Köpenick,2023,25.33679585053426
Adlershof,2023,28.83000000000004
Rudow,2023,28.449864482885516
Johannisthal,2023,28.93648545204809
Niederschöneweide,2023,28.741454545454644
Baumschulenweg,2023,29.30121737213409
Plänterwald,2023,27.56682569735517
Alt-Treptow,2023,27.426925867098532
Friedrichshain,2023,29.304319798951155
Friedrichshain-Kreuzberg,2023,28.716263302202094
Kreuzberg,2023,28.15088278673022
Großbeeren,2023,26.378646357129185
Blankenfelde-Mahlow,2023,26.448130670295598
Schönefeld,2023,27.467497335548728
Eichwalde,2023,25.85890369733454
Schulzendorf,2023,26.616515263511644
Zeuthen,2023,25.887945794446466
Königs Wusterhausen,2023,25.2394967036729
Gosen-Neu Zittau,2023,24.255835652198925
Spreenhagen,2023,24.478209214707647
Erkner,2023,24.84837085344111
Konradshöhe,2023,23.687377826404088
Potsdam-Mittelmark,2023,25.192921854308963
Teltow-Fläming,2023,25.509591276493097
Potsdam,2023,24.240671740006235
Dahme-Spreewald,2023,25.362681872240955
Havelland,2023,25.319403057108445
Berlin,2023,26.620015865365247
Oberhavel,2023,24.782558951503063
Brandenburg,2023,25.235515881553738
Barnim,2023,24.171695818479293
Oder-Spree,2023,24.689263331723225
Waidmannslust,2023,26.920370101880906
Charlottenburg,2023,30.070304828580277
Grünau,2023,25.259150637496873
Waltersdorf,2023,27.103425412882814
Schmöckwitz,2023,23.316555447599285
Gosen,2023,23.285980426088372
Wernsdorf,2023,23.907907540463555
Lichtenrade,2023,27.544850013702103
Tempelhof-Schöneberg,2023,28.36001148675274
Buckow,2023,28.411326524136143
Tempelhof,2023,28.781285225798968
Mariendorf,2023,28.13547101280028
Britz,2023,28.13639734089412
Neukölln,2023,28.61871442042525
Altglienicke,2023,28.25118715596335
Marzahn-Hellersdorf,2023,28.217283356953487
Mahlsdorf,2023,27.431899109393328
Pankow,2023,27.50188478509085
Zehlendorf,2023,25.11824844793199
Schmargendorf,2023,26.817316017316102
Westend,2023,26.458012055406527
Wilhelmstadt,2023,26.312806237558107
Waßmannsdorf,2023,27.536278532344625
Märkisch-Oderland,2023,25.792695229435765
Charlottenburg-Wilmersdorf,2023,26.396154887143496
Lichtenberg,2023,28.595692597210302
Französisch Buchholz,2023,28.133531930481922
Stadtrandsiedlung Malchow,2023,27.940459310081962
Marzahn,2023,28.734008335461738
Hellersdorf,2023,27.928920973051277
Kaulsdorf,2023,27.95391464964979
Karow,2023,28.035936844984292
Wilhelmsruh,2023,28.359089294364765
Rosenthal,2023,27.68676627793974
Niederschönhausen,2023,28.165293219167438
Pankow,2023,28.51198689564012
Prenzlauer Berg,2023,28.791991544098494
Haselhorst,2023,27.870320898418584
Fennpfuhl,2023,29.253421506493567
Malchow,2023,27.528867979154654
Blankenfelde,2023,26.162909245331036
Buch,2023,25.346661296459217
Blankenburg,2023,28.473633556694324
Weißensee,2023,28.553680171377835
Spandau,2023,28.66705129482932
Hakenfelde,2023,24.83953441143524
Heinersdorf,2023,28.250795031055986
Alt-Hohenschönhausen,2023,28.825251871248895
Rummelsburg,2023,29.009938201037244
Wartenberg,2023,27.141767840869875
Lichtenberg,2023,29.139230999055087
Karlshorst,2023,28.761535799004378
Biesdorf,2023,28.59464399775885
Köpenick,2023,24.881625579825084
Friedrichshagen,2023,24.547722625023255
Rahnsdorf,2023,23.196186936041897
Falkenhagener Feld,2023,27.656530059164027
Neukölln,2023,29.47692686155051
Gropiusstadt,2023,28.344846058400265
Kladow,2023,23.73100559054774
Gatow,2023,23.990658031274563
Wannsee,2023,21.98005945209667
Nikolassee,2023,21.73748236384415
