area,mean_temp_c,green_area,priority_score
Tempelhof,30.77922323428843,0.2570449883702252,0.7677517967248508
Mariendorf,30.80954343019092,0.08536045269243862,0.958237309001407
Britz,29.959870690668616,0.2195577361024447,0.5050969731179344
Neukölln,30.675077174495776,0.1452723850231157,0.8412990616659118
Altglienicke,29.97956873505701,0.14924346730838564,0.5585024978546058
Marzahn-Hellersdorf,29.546093326909592,0.16299256627072442,0.3784688070452799
Mahlsdorf,29.200453859855507,0.044020067903787166,0.27652668268973074
Pankow,29.63099728569733,0.18895863719136297,0.3991835964648468
Zehlendorf,26.61263054253725,0.28196559699367585,0.47132657773172354
Schmargendorf,28.075044341950942,0.09599187766861399,0.47132657773172354
Westend,27.94944029040862,0.16850795515865055,0.47132657773172354
Wilhelmstadt,27.95822663542368,0.188087004690499,0.47132657773172354
Charlottenburg-Wilmersdorf,27.65209189696633,0.333066248398164,0.47132657773172354
Lichtenberg,30.55903175322091,0.19060599540138698,0.7524076429739036
Französisch Buchholz,29.416088660685283,0.10712902959979015,0.3490182059204052
Stadtrandsiedlung Malchow,29.37356387777145,0.13058750390705023,0.3224227339898337
Marzahn,30.13908945149561,0.24424750570096188,0.5529567609887361
Hellersdorf,29.32064688985833,0.2246129648884851,0.2682142019638078
Kaulsdorf,29.16666324667019,0.13596110740132028,0.23617078339638103
Karow,29.24287912044641,0.044009110880112216,0.29564599209182146
Wilhelmsruh,30.26254558372364,0.03420568416125186,0.7628345542243709
Rosenthal,29.275455635067885,0.0157677244030082,0.31949188920219884
Niederschönhausen,29.75752094677465,0.18464919236730717,0.4499272478139284
Pankow,29.63099728569733,0.08586245395814708,0.4499261443693292
Prenzlauer Berg,30.78844315052421,0.15907203231859873,0.8726490169113371
Haselhorst,29.328242844668654,0.08508183242660447,0.31975499656995565
Fennpfuhl,30.604960630303072,0.23562615226997422,0.7271039677933419
Malchow,29.08244277166575,0.4039090558277999,0.1392695925000186
Blankenfelde,27.34210918501564,0.33953184089784433,0.47132657773172354
Blankenfelde,27.80940306352276,0.33953184089784433,0.47132657773172354
Buch,26.912880786943468,0.45661316434997895,0.47132657773172354
Blankenburg,29.49732504389585,0.031664543254156054,0.4155933132876464
Blankenburg,26.35512822721777,0.031664543254156054,0.47132657773172354
Weißensee,30.481957715208488,0.06142648674087082,0.8383965124709456
Spandau,28.6564504592307,0.08057412523296684,0.030209266216056695
Hakenfelde,25.918242053777465,0.6069976525406907,0.47132657773172354
Heinersdorf,29.55479768640935,0.024138167179571665,0.44525802745096194
Alt-Hohenschönhausen,30.53408762156356,0.0765981323277692,0.8475323640502946
Rummelsburg,30.001773696505857,0.0501125659133344,0.6335210223707396
Wartenberg,28.7846061423081,0.25729504094123923,0.06926454759896451
Lichtenberg,30.55903175322091,0.17192375226346435,0.7697745402390256
Karlshorst,29.668218756473262,0.1318365089779564,0.44252893469407106
Biesdorf,29.38598805738436,0.13804674445056575,0.32470393068623177
Köpenick,26.045349940610837,0.4415677515559669,0.47132657773172354
Friedrichshagen,25.282863083803363,0.5263122936787682,0.47132657773172354
Rahnsdorf,23.96323957426996,0.6373062626259269,0.47132657773172354
Rahnsdorf,27.044279487517564,0.6373062626259269,0.47132657773172354
Falkenhagener Feld,28.949616845855324,0.20533214447863193,0.13591504146658906
Neukölln,30.675077174495776,0.13823780601031013,0.848223121002462
Gropiusstadt,30.005708693853943,0.15196202364447986,0.5671660425586019
Kladow,24.829677194794037,0.18551878358047252,0.47132657773172354
Gatow,25.842515171664456,0.2444064041081669,0.47132657773172354
Wannsee,23.26063016406488,0.5555843975098357,0.47132657773172354
Nikolassee,23.17641116410617,0.5146477566800423,0.47132657773172354
Lübars,27.938902440109995,0.21800568216668387,0.47132657773172354
Müggelheim,23.79823033110377,0.6245493315878474,0.47132657773172354
Bohnsdorf,29.70179820946772,0.1324707424529875,0.45593593586543124
Staaken,29.07674679350113,0.1771398935802222,0.19004241827072735
Siemensstadt,29.960624344972587,0.1238781209562188,0.5673313888244992
Falkenberg,29.73955766586056,0.5826630908182138,0.22676162725233576
Friedrichsfelde,30.24832662666024,0.17906999789917027,0.6429115029420823
Neu-Hohenschönhausen,29.827992182574796,0.22794288916531363,0.4516807516521092
Oberschöneweide,29.265455302360884,0.14714596067687,0.2728253050294014
Borsigwalde,29.72446223533128,0.027119515644433583,0.5216964566011211
Wilhelmshagen,25.55587511837125,0.013678022127894754,0.47132657773172354
Hessenwinkel,24.524322916666723,0.009067746429258219,0.47132657773172354
Schlachtensee,24.4768058125111,0.33971284906122134,0.47132657773172354
Lichterfelde Süd,28.658240400679016,0.10819969532203895,0.030053946797877033
Lichterfelde Ost,29.28106524160525,0.042199484673813,0.3134442518244431
Lichterfelde West,28.844896793011195,0.0848351797321146,0.11135398699343714
,,,0.47132657773172354
,,0.0,0.47132657773172354
,,,0.47132657773172354
,,,0.47132657773172354
